review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
0,It is nice app,5,2025-11-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998478889465332,
1,best,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,
2,good app,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,
3,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9993435740470886,
4,nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997116923332214,
5,very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998499155044556,
6,thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9971639513969421,
7,good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,
8,why we can't send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9984826445579529,
9,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9856644868850708,
10,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8832130432128906,
11,wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,
12,nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,
13,you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9818922877311707,
14,it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998483657836914,
15,excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,
16,ዳጊ,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
17,absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998525381088257,
18,mid application it's so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997883439064026,
19,I used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9802079796791077,
20,no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9920698404312134,
21,"It's great app,I love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998750686645508,
22,Nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,
23,suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9737535119056702,
24,not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991471767425537,
25,I love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998642206192017,
26,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993645548820496,
27,make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999527096748352,
28,securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.989194393157959,
29,My most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.7555280327796936,
30,5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9964116215705872,
31,it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998733997344971,
32,sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8473547101020813,
33,i like this√,4,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998555183410645,
34,Ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,
35,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9916301369667053,
36,"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996232986450195,
37,Like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9910564422607422,
38,Nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998588562011719,
39,Good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,
40,smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999789297580719,
41,good App,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,
42,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.992516815662384,
43,ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,
44,cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9987378716468811,
45,Awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998682737350464,
46,I am not able to transfer. The app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999775230884552,
47,Very convenient App,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9945734143257141,
48,excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9832204580307007,
49,wow apk,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9992477893829346,
50,best 100 %,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998010993003845,
